"id","avg_followers"
"231","156.5556"
"280","38.1429"
"392","285.5667"
"788","33.6667"
"1182","230.8135"
"1207","252.4000"
"1615","44.4286"
"1799","96.3750"
"1962","132.8361"
"2146","120.1786"
"4021","64.2286"
"4068","131.2941"
"4095","94.1395"
"4267","38.9231"
"4432","321.6167"
"4654","103.1429"
"4711","633.0357"
"5124","53.2500"
"5874","303.0263"
"6053","158.7738"
"6223","261.0000"
"6313","1092.6623"
"6413","230.8135"
"6848","549.9794"
"7233","104.7778"
"7756","82.5849"
"8127","67.7647"
"8304","50.4809"
"8329","93.7500"
"8525","2157.8947"
"8892","11.0000"
"9259","549.9794"
"9709","313.5455"
"9951","416.7742"
"10070","671.7826"
"10579","93.7500"
"10798","1337.2500"
"10912","781.7143"
"12031","369.3661"
"12258","278.4828"
"13436","34.7500"
"13718","83.0678"
"15433","45.6364"
"15762","60.3913"
"16639","119.2549"
"17411","115.8333"
"18090","116.2400"
"18941","76.6667"
"19019","64.7708"
"19626","52.6667"
"21218","9.8235"
"21530","97.0250"
"21621","33.2500"
"22321","52.1250"
"22551","49.5000"
"22772","39.1538"
"23301","119.2549"
"23670","25.4000"
"24177","24.0909"
"24559","90.0667"
"24603","332.0545"
"25986","460.4667"
"26624","119.6667"
"26636","120.1786"
"26688","120.0000"
"27046","42.9286"
"28069","118.5556"
"29914","872.1429"
"30402","22.6154"
"30738","68.0000"
"32023","632.2000"
"33565","4.0000"
"36713","120.1786"
"37623","23.6667"
"38744","43.4000"
"39027","179.6250"
"45702","1.0000"
"54351","134.4167"
"58642","67.7500"
"59607","1343.2500"
"59830","159.0000"
"64212","64.7708"
"78782","152.5000"
"84341","3740.6667"
"90988","13.0000"
"96553","105.6410"
"99731","7.6667"
"113880","633.0357"
"114167","60.9111"
"114751","215.0000"
"118551","106.3654"
"120707","99.1000"
"124505","25.2605"
"149332","147.0625"
"158753","55.7500"
"159999","123.8333"
"164085","39.4375"
"167303","89.3000"
"167985","122.5000"
"169529","26.4167"
"181526","223.0769"
"206270","51.3182"
"244129","14.0000"
"244417","6.2000"
"246730","133.0000"
"262948","9.0000"
"267105","39.0667"
"267717","33.3750"
"284075","27.4483"
"285798","48.3929"
"319466","510.8571"
"321869","62.0833"
"343698","23.0000"
"357887","33.5556"
"374916","37.3158"
"383256","54.5000"
"427496","47.9000"
"519333","30.5000"
"569534","303.0263"
"572040","45.9667"
"576260","34.7419"
"615055","24.0000"
"683351","132.0500"
"686542","303.0263"
"696102","97.2857"
"718118","122.9821"
"723307","23.3333"
"726806","8.1429"
"811401","87.0000"
"1001578","68.0000"
"1008365","113.7273"
"1084208","30.8000"
"1270737","1014.7500"
"1344179","723.8095"
"1352199","147.5000"
"1366256","16.6842"
"1367068","26.0815"
"1367228","49.4000"
"1381021","87.6190"
"1397723","48.0000"
"1412018","27.0000"
"1438441","343.0000"
"1453441","12.0000"
"1471234","19.7241"
"1500447","3.7500"
"1524373","2.0000"
"1528221","25.2500"
"1546988","31.0000"
"1619676","230.8135"
"1690743","68.6000"
"1698522","143.5000"
"1838125","63.0000"
"1890840","97.0000"
"1903462","132.5600"
"1927881","16.4545"
"1961397","21.0000"
"1977847","33.0000"
"2244481","24.4000"
"2294498","97.3333"
"2535892","7.6471"
"2661903","63.8333"
"2662867","76.9464"
"2749609","21.1667"
"2796362","6.7647"
"2814268","54.5556"
"2835325","68.0000"
"2847808","110.3559"
"2922319","170.8111"
"2923558","170.8111"
"2945321","23.1667"
"3122758","105.6410"
"3136825","17.0000"
"3168742","20.2917"
"3250844","8.5000"
"3276139","969.6000"
"3434493","55.5000"
"3498338","64.0000"
"3642978","1446.6522"
"3649472","33.5556"
"3664437","39.0000"
"3706501","18.2222"
"3756185","7069.6667"
"3807912","9.5000"
"3905191","114.6023"
"4136027","41.0000"
"4428725","17.7273"
"4477515","99.1429"
"4513783","79.6761"
"4563494","110.7727"
"4584491","72.5000"
"4605271","300.2500"
"4882831","94.8889"
"4894767","633.0357"
"4911527","321.6167"
"4963729","18.2500"
"5095078","4.0000"
"5205541","28.8000"
"5565375","15.6667"
"5600557","49.2000"
"5630665","86.0000"
"5778983","13.5000"
"5807266","61.5000"
"5828347","44.0714"
"5846748","12.6667"
"6065511","97.0000"
"6172020","124.0000"
"6236268","23.6000"
"6239513","79.6667"
"6253776","171.2000"
"6412773","32.7451"
"6442229","233.5000"
"6498079","20.0000"
"6611850","29.3750"
"6653643","132.0000"
"6699074","49.7966"
"6704373","289.0000"
"6712024","857.0000"
"6816151","42.2500"
"6861499","120.5667"
"6965555","137.3158"
"6965574","137.3158"
"6970257","70.6522"
"6988998","106.3654"
"7019686","152.8000"
"7075652","4.6667"
"7113913","72.4286"
"7147408","3.0000"
"7158417","65.9683"
"7189065","205.6667"
"7190023","79.5000"
"7212462","42.6667"
"7228519","142.3750"
"7266288","99.0000"
"7306369","119.2549"
"7306673","44.4500"
"7489584","12.0000"
"7607012","24.6667"
"7617634","50.4545"
"7654253","24.6667"
"7722836","231.0000"
"7738640","92.0000"
"7751311","154.5000"
"7753732","133.6667"
"7810452","454.5526"
"7883561","781.7143"
"7940296","122.0000"
"8017772","274.8000"
"8125526","274.8000"
"8313244","13.2000"
"8387817","19.7241"
"8405131","1446.6522"
"8566806","48.2000"
"8576259","70.6522"
"8634501","633.0357"
"8688328","47.8358"
"8734343","21.0000"
"8818018","108.0549"
"8875464","12.2000"
"8939716","36.7500"
"9121894","1492.9091"
"9268752","115.6000"
"9282939","3622.0000"
"9382176","39.7143"
"9400432","45.2414"
"9478333","92.8485"
"9599053","113.5000"
"9626183","802.8810"
"9650960","1291.6000"
"9658872","90.3571"
"9706049","27.0000"
"9727940","108.0549"
"9755937","8.0833"
"9862004","55.9082"
"9865676","115.0000"
"9908329","27.2000"
"9961002","328.6000"
"10066441","1318.2222"
"10084609","44.0000"
"10084678","280.8235"
"10172529","8.0000"
"10196307","14.8000"
"10358518","17.0000"
"10377821","42.0000"
"10388177","155.2222"
"10396798","6.5217"
"10432015","13.0588"
"10435441","1291.6000"
"10520061","12.3333"
"10521722","129.0000"
"10548198","52.4390"
"10576004","321.6167"
"10589306","15.9167"
"10631290","1670.4545"
"10777706","97.0000"
"10784470","477.8732"
"10812016","8.0000"
"10815238","107.2329"
"10817458","21.3333"
"10832091","268.6667"
"10832897","268.6667"
"10832960","229.9048"
"10953007","108.0549"
"10955983","40.0000"
"10956038","40.0000"
"10964976","15.0000"
"11001304","224.2273"
"11061859","77.5000"
"11107988","849.5000"
"11139593","55.0000"
"11144636","390.2000"
"11165808","152.8000"
"11212499","368.8333"
"11227723","144.3333"
"11338993","123.0000"
"11362536","2011.0000"
"11474560","137.4000"
"11494393","51.5000"
"11622535","58.0513"
"11706023","75.5000"
"11707880","31.7500"
"11735060","3.0000"
"11737051","10.3889"
"11744765","72.3333"
"11753236","301.5926"
"11797084","660.5455"
"12092942","288.0000"
"12170217","107.2329"
"12226983","242.8000"
"12260707","9.0000"
"12326365","8.0000"
"12350238","11.5000"
"12666384","655.0000"
"12806676","4.8889"
"12814859","33.8000"
"12908987","1092.6623"
"13071706","48.0000"
"13095216","126.5000"
"13334964","14.5000"
"13393204","123.8000"
"13454056","3.5000"
"13489032","176.0000"
"13595364","11.5000"
"13613053","1510.2745"
"13636329","33.5000"
"13642463","17.8000"
"13664602","374.7826"
"13680016","136.0000"
"14000694","47.0000"
"14179437","46.0000"
"14286406","67.0000"
"14429281","25.0000"
"14457963","24.2500"
"14545279","1407.8000"
"14771481","40.0000"
"14847736","229.9048"
"15022227","26.7500"
"15384846","102.0000"
"15573016","45.8182"
"15623292","4.8750"
"15627284","106.3654"
"15676204","114.6023"
"15710174","70.3529"
"16030648","95.3333"
"16174927","27.2000"
"16230400","523.6667"
"16310355","400.3846"
"16423884","633.0357"
"16534152","157.5000"
"16647116","45.5000"
"16741757","26.0000"
"16792291","40.0000"
"17081302","20.8333"
"17193964","180.6667"
"17539972","11.0000"
"18054793","49.0000"
"18260477","5.0000"
"18469788","40.3333"
"18552022","160.0769"
"18655199","846.0000"
"18781956","173.0526"
"18810686","139.5000"
"18904813","802.8810"
"19010386","174.7500"
"19122404","41.1429"
"19185130","89.0000"
"19320997","1571.0000"
"19569279","106.6667"
"19685186","145.0000"
"20532547","290.0000"
"20647545","9.7143"
"20682630","3543.5000"
"20737229","23.0000"
"21058198","52.5714"
"21629316","129.0000"
"22041659","9.6667"
"22042237","62.0000"
"22053762","564.0000"
"22054830","46.0000"
"22056425","26.5000"
"22076087","14.5000"
"22077026","38.7500"
"22110826","40.2308"
"22946554","15.8000"
"23471356","64.6000"
"24136448","404.0000"
"24272262","66.0000"
"25977484","119.8000"
"27299735","52.0000"
"27406305","42.3750"
"27530962","23.5000"
"27676276","111.5000"
"28338390","122.9821"
"28376284","52.9375"
"28992266","114.6023"
"6","721"
"334","6239"
"391","48"
"675","1811"
"735","1811"
"799","1890"
"982","418"
"1022","271"
"1305","923"
"1620","456"
"1742","229"
"1743","79"
"1819","1036"
"1996","270"
"2204","280"
"2727","872"
"2746","149"
"2864","53"
"3052","75"
"3386","549"
"3430","461"
"3595","1150"
"3623","1134"
"3648","11"
"3751","51"
"3928","137"
"4003","392"
"4276","506"
"4281","62"
"4346","1828"
"4473","148"
"4846","7566"
"4929","1174"
"5161","246"
"5184","731"
"5455","459"
"5478","452"
"5497","516"
"5626","226"
"5629","161"
"6009","300"
"6931","57"
"6978","167"
"7059","256"
"7149","1406"
"7317","277"
"7836","483"
"7982","2970"
"8184","980"
"8390","441"
"8566","487"
"8833","152"
"9383","69"
"9682","3649"
"9713","2424"
"9716","99"
"10197","1477"
"10512","361"
"10594","28"
"10649","112"
"10686","41"
"11067","428"
"11435","247"
"11820","100"
"11902","6052"
"12257","93"
"12830","705"
"12831","655"
"12885","2046"
"13235","11704"
"13747","69"
"13929","7374"
"14061","500"
"14098","305"
"14622","1890"
"14763","17"
"14952","317"
"15728","112"
"15756","220"
"16113","120"
"16376","168"
"16462","21019"
"16820","1714"
"16836","47"
"17000","127"
"17165","2970"
"17730","124"
"17742","154"
"17798","952"
"18045","333"
"18250","59"
"18571","81"
"18601","164"
"19030","54"
"19375","80"
"19579","63"
"19640","289"
"19806","2011"
"19996","985"
"20138","1405"
"20678","46"
"21274","2970"
"22086","6909"
"22528","302"
"23085","2153"
"23122","2561"
"23238","2261"
"23429","124"
"23605","17709"
"23834","755"
"23888","2336"
"24213","135"
"24326","2834"
"24522","2443"
"24889","159"
"24960","60"
"25016","900"
"25359","688"
"25380","322"
"27194","125"
"28009","431"
"28054","69"
"28204","573"
"28556","155"
"28576","41"
"29172","1528"
"29762","71"
"29991","2363"
"30653","56"
"30761","10"
"31283","404"
"31366","1847"
"32107","293"
"32638","19"
"33227","1811"
"33656","70"
"34288","8514"
"35473","57"
"36313","89"
"36413","860"
"36591","150"
"37778","21"
"38658","159"
"39044","31"
"39075","76"
"40389","2114"
"41254","100"
"41498","601"
"41849","57"
"42214","59"
"42948","31"
"43969","86"
"45141","14"
"45669","483"
"47940","56"
"48829","104"
"48951","38"
"49570","200"
"50875","6130"
"53018","77"
"53286","36"
"54068","1100"
"54491","483"
"54745","2"
"54785","14"
"55259","592"
"56374","474"
"58903","123"
"59582","1"
"61117","98"
"62093","872"
"64390","1118"
"64654","68"
"65772","250"
"69069","38"
"70499","83"
"74160","85"
"79442","16"
"81444","10"
"82957","13"
"85800","23"
"87135","103"
"87869","497"
"88390","159"
"91363","27"
"94451","35"
"96689","128"
"96763","44"
"98743","46"
"100266","79"
"102179","257"
"104483","342"
"106815","120"
"106864","794"
"107530","451"
"110992","15"
"112249","428"
"112262","13"
"112292","70"
"116162","62"
"118048","35"
"119275","40"
"119977","59"
"120216","35"
"122760","15704"
"123356","6"
"124137","590"
"126528","22"
"126778","9"
"131286","16"
"134290","132"
"136457","5"
"137246","616"
"141145","431"
"141261","111"
"142406","6"
"146205","1084"
"150716","312"
"153822","24"
"154114","4312"
"156773","3225"
"166720","2"
"167194","4312"
"169454","15"
"176492","1967"
"176596","152"
"180685","345"
"182702","100"
"185861","724"
"189681","10"
"198069","17"
"201672","114"
"204692","642"
"205834","8"
"207212","74"
"209924","7374"
"214505","34"
"214552","8"
"216447","795"
"219601","495"
"220953","235"
"222916","118"
"223537","352"
"224435","25"
"231026","46"
"233193","4"
"238698","132"
"242564","50"
"243431","387"
"255320","156"
"260066","25"
"263107","21"
"276344","14"
"280617","149"
"284018","143"
"303616","44"
"306833","37"
"306908","32"
"307612","5"
"309661","128"
"311780","12"
"313268","89"
"323565","2153"
"326476","5"
"328815","264"
"335881","10"
"337343","77"
"338816","41"
"344063","126"
"348868","27"
"362053","77"
"362894","121"
"366402","1150"
"386790","13"
"410586","5"
"414089","530"
"419651","344"
"422791","61"
"427934","5"
"440795","143"
"445199","2561"
"450059","299"
"450328","177"
"454235","9"
"455467","41"
"460773","44"
"497181","1250"
"499056","16"
"543497","433"
"546329","40"
"579759","8"
"601064","248"
"603530","89"
"640609","32"
"643697","247"
"651549","1770"
"652682","175"
"673716","43"
"705818","57"
"719340","72"
"724361","185"
"738430","544"
"742622","204"
"743378","743"
"748510","2"
"750986","24"
"771049","63"
"772395","1996"
"773433","34"
"784448","20"
"788950","149"
"804708","30"
"811373","38"
"812923","563"
"839143","7"
"843214","29"
"856494","26"
"870927","4"
"911527","55"
"927777","381"
"979207","89"
"1009716","7"
"1011413","46"
"1015480","758"
"1017307","215"
"1025135","22"
"1027466","248"
"1031791","399"
"1036996","14"
"1059797","25"
"1078185","8"
"1083125","481"
"1084793","7"
"1093294","17"
"1098117","40"
"1099822","100"
"1100704","330"
"1117036","543"
"1124381","14"
"1186739","1"
"1189471","3"
"1195142","1655"
"1214622","79"
"1228020","16"
"1242075","172"
"1248826","1"
"1261926","10"
"1303073","69"
"1328973","554"
"1354419","468"
"1372746","74"
"1382032","8"
"1391701","9"
"1397125","22"
"1404659","1722"
"1414836","100"
"1416473","10917"
"1432150","1070"
"1434458","262"
"1436875","14"
"1437288","68"
"1449551","15"
"1457727","163"
"1471568","219"
"1474764","391"
"1486549","51"
"1545229","1655"
"1600439","5"
"1713442","283"
"1749436","534"
"1764042","117"
"1799111","16"
"1819251","2"
"1852141","640"
"1891776","307"
"1892389","21"
"1893164","383"
"1900934","85"
"1904790","4"
"1916255","31"
"1918558","10"
"1927874","292"
"1964893","42"
"1965404","223"
"1989790","398"
"1991636","158"
"2001763","9"
"2020393","12"
"2051124","15"
"2145058","8"
"2146436","77"
"2201979","25"
"2206890","54"
"2207463","38"
"2213273","41"
"2229635","20"
"2241376","77"
"2244312","1556"
"2246039","3"
"2249262","1"
"2250690","176"
