"`id`","`nr_of_devs`"
"15239162","1"
"15246185","4"
"15363005","2"
"15417633","1"
"15471020","4"
"15500909","8"
"15509641","13"
"15525750","47"
"15536213","5"
"15548976","5"
"15592045","36"
"15627284","34"
"15669545","3"
"15676204","31"
"15710174","4"
"15778405","26"
"15867274","8"
"15962985","19"
"16030648","10"
"16154948","1"
"16174927","14"
"16230400","20"
"16310355","5"
"16409333","2"
"16423884","9"
"16428381","3"
"16534152","4"
"16622735","1"
"16647116","15"
"16741757","20"
"16782015","37"
"16792291","24"
"16837900","11"
"16846494","2"
"16988139","8"
"17020688","2"
"17021738","1"
"17038695","2"
"17070556","1"
"17081302","5"
"17296591","76"
"17328893","5"
"17332041","4"
"17472048","1"
"17708574","1"
"17753126","4"
"17785086","5"
"17865733","8"
"17867788","21"
"17924077","8"
"17941398","2"
"18006157","41"
"18013712","3"
"18022219","88"
"18054793","29"
"18059452","3"
"18059812","2"
"18097224","1"
"18236982","4"
"18257960","26"
"18313948","7"
"18415473","2"
"18429672","4"
"18469788","10"
"18655199","4"
"18674058","4"
"18781956","14"
"18790667","1"
"18810686","21"
"18821370","34"
"18847237","6"
"18869596","3"
"18903735","1"
"18904813","159"
"18937463","1"
"19010386","11"
"19047987","9"
"19085523","1"
"19185130","1"
"19320997","25"
"19569279","2"
"19594347","1"
"19612571","3"
"19644716","5"
"19696936","6"
"19710500","3"
"19717550","1"
"19761685","1"
"20138487","5"
"20163538","3"
"20390809","1"
"20435182","1"
"20450716","1"
"20450796","14"
"20532547","8"
"20666664","14"
"20682630","23"
"20737229","6"
"20873386","1"
"20955762","1"
"21044484","4"
"21058198","85"
"21174695","4"
"21187110","5"
"21312489","1"
"21618029","2"
"21629316","9"
"21719074","2"
"21784371","5"
"21921763","3"
"21924858","4"
"21971963","9"
"21974766","1"
"22041659","27"
"22042237","14"
"22045114","9"
"22046894","67"
"22047350","37"
"22050640","15"
"22052042","1"
"22053634","1"
"22053762","18"
"22054830","6"
"22056425","2"
"22056630","6"
"22077026","10"
"22084327","3"
"22095887","1"
"22105376","25"
"22110826","14"
"22123631","2"
"22141768","1"
"22167327","1"
"22833631","8"
"23428045","2"
"23458675","6"
"23620520","17"
"23775197","4"
"24136448","3"
"24177440","2"
"24265177","1"
"24272262","2"
"24495953","1"
"24729237","1"
"24919055","6"
"25037257","3"
"25037627","4"
"25045443","8"
"25051824","2"
"25070656","5"
"25830758","1"
"25858715","2"
"26108120","4"
"26550795","1"
"27299735","22"
"27326987","5"
"27406305","4"
"27428481","4"
"27496559","12"
"27623476","4"
"27633284","2"
"27671937","1"
"27676276","7"
"27777181","1"
"27859042","22"
"27881432","1"
"27955513","3"
"27977354","2"
"28033868","5"
"28178404","8"
"28317607","4"
"28338390","2"
"28376284","24"
"28401052","1"
"28625357","1"
"28992266","15"
"3751","5"
"11067","2"
"13929","5"
"18250","1"
"19019","12"
"19615","1"
"22772","14"
"23429","5"
"41254","1"
"43969","4"
"45702","4"
"47940","3"
"48829","4"
"54745","11"
"55259","16"
"58642","14"
"59582","1"
"69069","1"
"70499","3"
"74160","6"
"78782","1"
"81444","1"
"88390","4"
"90988","1"
"94451","1"
"96689","11"
"96763","2"
"99731","2"
"107530","1"
"112262","147"
"120707","8"
"124505","71"
"126528","2"
"134290","2"
"136457","1"
"137246","1"
"166720","1"
"169529","15"
"176596","5"
"189681","22"
"201672","1"
"205834","2"
"209924","1"
"214505","4"
"220953","1"
"223537","7"
"233193","3"
"238698","2"
"244129","4"
"244417","6"
"260066","2"
"276344","2"
"284018","3"
"285798","8"
"303616","3"
"306908","2"
"307612","2"
"309661","2"
"337343","11"
"344063","2"
"357887","13"
"363605","2"
"374916","7"
"383256","2"
"414089","7"
"427496","4"
"427934","1"
"440795","5"
"450059","1"
"455467","1"
"497181","1"
"546329","1"
"576260","2"
"579759","1"
"615055","4"
"640609","3"
"652682","1"
"673716","1"
"677148","2"
"686542","8"
"724361","2"
"726806","5"
"750986","20"
"772395","2"
"773433","2"
"788950","1"
"804708","1"
"811373","2"
"839143","3"
"911527","1"
"927777","9"
"979207","1"
"1009716","2"
"1015480","1"
"1017307","1"
"1025135","1"
"1031791","1"
"1084208","1"
"1093294","9"
"1100704","1"
"1195142","4"
"1214622","1"
"1242075","2"
"1412018","1"
"1414836","1"
"1436875","1"
"1449551","2"
"1453441","2"
"1471568","1"
"1492346","3"
"1600439","1"
"1607018","2"
"1764042","4"
"1799111","1"
"1838125","3"
"1852141","7"
"1886159","3"
"1890840","2"
"1903462","1"
"1916255","2"
"1964893","4"
"2146436","5"
"2201979","1"
"2206890","1"
"2207463","1"
"2213273","3"
"2244481","3"
"2246039","4"
"2266052","2"
"2281243","1"
"2312008","3"
"2315431","1"
"2345204","4"
"2372421","4"
"2375290","1"
"2381629","5"
"2381679","1"
"2409137","1"
"2422498","1"
"2434520","1"
"2445228","1"
"2480777","2"
"2535892","4"
"2572814","1"
"2601235","1"
"2624458","1"
"2660015","1"
"2709309","1"
"2749609","1"
"2768008","6"
"2787691","5"
"2801361","1"
"2814268","8"
"2835325","12"
"2873371","1"
"2874293","1"
"2886485","1"
"2909754","1"
"2940997","1"
"2945321","1"
"2987164","1"
"3004769","1"
"3036595","1"
"3036835","1"
"3095960","1"
"3122758","3"
"3173347","1"
"3180895","2"
"3205751","1"
"3236423","1"
"3283518","1"
"3287419","1"
"3296518","1"
"3389811","6"
"3429645","2"
"3462816","2"
"3487382","9"
"3498338","4"
"3499917","1"
"3549651","1"
"3594572","2"
"3641172","1"
"3669790","1"
"3708910","1"
"3752385","2"
"3769056","2"
"3770464","2"
"3827244","3"
"3872943","1"
"3877884","1"
"3983276","2"
"3997006","1"
"4030767","1"
"4045632","1"
"4052435","1"
"4058558","1"
"4255397","7"
"4428725","3"
"4476638","1"
"4477515","1"
"4569976","1"
"4607985","5"
"4695209","5"
"4722740","1"
"4776433","1"
"4780077","1"
"4809226","1"
"4899910","1"
"4911527","7"
"4993581","1"
"5041761","1"
"5120709","3"
"5350409","1"
"5368058","2"
"5377260","10"
"5379586","3"
"5398997","1"
"5472160","1"
"5548430","1"
"5552730","8"
"5568720","1"
"5573155","1"
"5597614","3"
"5602838","4"
"5718353","3"
"5731028","1"
"5778983","4"
"5784154","1"
"5829099","1"
"5944667","4"
"5979563","1"
"5989485","1"
"6065511","5"
"6095575","1"
"6108651","1"
"6236268","18"
"6239513","2"
"6299920","1"
"6307815","1"
"6404061","3"
"6457494","1"
"6505671","1"
"6571469","1"
"6753616","1"
"6800846","4"
"6853230","2"
"6861499","10"
"6882788","1"
"6962535","1"
"6965574","3"
"6970257","3"
"7075652","3"
"7147408","3"
"7198962","1"
"7249970","3"
"7305150","1"
"7306369","1"
"7344511","1"
"7361572","1"
"7383416","2"
"7412153","1"
"7432562","8"
"7553911","1"
"7623896","1"
"7645899","2"
"7732133","3"
"7811703","1"
"7846270","1"
"7883108","3"
"7883561","15"
"8091268","1"
"8117944","1"
"8162617","1"
"8170478","14"
"8228397","3"
"8270641","1"
"8339915","1"
"8346508","2"
"8387817","1"
"8390641","1"
"8404580","2"
"8596480","1"
"8670482","1"
"8742938","2"
"8769923","1"
"8772689","3"
"8789813","1"
"8837968","1"
"8847632","1"
"8854423","1"
"8875464","18"
"8913435","7"
"8944249","1"
"8984199","1"
"9051214","1"
"9139436","1"
"9160279","1"
"9240557","2"
"9255018","1"
"9343717","3"
"9380376","1"
"9382176","4"
"9392393","1"
"9504109","4"
"9511165","4"
"9540082","1"
"9589511","4"
"9597076","2"
"9599053","1"
"9664486","11"
"9677139","244"
"9701410","1"
"9703605","5"
"9704915","1"
"9709068","2"
"9777067","2"
"9814221","1"
"9843828","2"
"9865676","3"
"9866862","1"
"9877090","1"
"9893161","2"
"9931815","41"
"9982219","1"
"9995314","1"
"10060643","231"
"10066441","1"
"10084609","1"
"10123492","2"
"10125352","1"
"10128842","1"
"10172252","2"
"10192555","1"
"10196307","2"
"10199826","7"
"10260310","1"
"10281182","1"
"10281816","1"
"10432015","31"
"10447564","2"
"10473430","4"
"10512042","1"
"10526188","7"
"10528918","2"
"10541844","1"
"10555368","2"
"10589306","3"
"10732476","9"
"10733538","5"
"10741429","2"
"10803994","6"
"10814377","4"
"10829089","1"
"10854850","1"
"10859865","1"
"10905378","1"
"10953007","4"
"10956038","8"
"10956567","1"
"10964976","2"
"11006951","1"
"11026907","1"
"11034513","1"
"11066875","1"
"11080800","2"
"11083412","1"
"11127510","9"
"11165808","2"
"11173957","2"
"11197300","3"
"11348682","6"
"11384611","4"
"11453235","1"
"11512622","1"
"11537177","11"
"11581362","1"
"11662013","2"
"11668604","1"
"11698195","7"
"11720517","1"
"11733127","1"
"11735060","3"
"11797084","4"
"11817714","1"
"12260707","1"
"12262320","1"
"12274903","1"
"12280393","5"
"12308151","2"
"12313618","1"
"12315617","3"
"12316998","2"
"12317433","1"
"12350238","1"
"12398542","1"
"12474524","4"
"12488104","1"
"12505449","3"
"12508484","2"
"12509066","1"
"12516628","3"
"12526520","1"
"12589909","1"
"12622087","1"
"12715530","5"
"12738012","2"
"12806676","4"
"12807650","1"
"12861561","1"
"12967267","1"
"12998527","8"
"13126326","4"
"13155583","1"
"13413696","3"
"13415499","1"
"13430369","3"
"13537757","2"
"13541961","1"
"13570263","4"
"13585659","2"
"13603046","1"
"13624635","1"
"13636329","3"
"13636760","2"
"13685691","1"
"13714859","1"
"13719548","2"
"13747237","1"
"13747894","3"
"13766624","1"
"13778815","1"
"13808342","1"
"13822802","1"
"13867933","1"
"13964115","1"
"14000694","3"
"14057734","1"
"14149638","1"
"14179437","2"
"14263163","6"
"14287549","1"
"14310944","10"
"14429281","1"
"14435272","1"
"14486832","1"
"14543063","3"
"14666817","8"
"14737226","2"
"14756103","1"
"14806250","5"
"14846150","72"
"14880605","5"
"14910241","1"
"14914675","1"
"14922006","2"
"15093986","1"
"15134766","1"
"15228302","1"
"15252261","1"
"15285403","1"
"15393494","12"
"15531805","1"
"15536505","1"
"15563546","1"
"15573016","3"
"15612970","8"
"15623292","10"
"15646653","1"
"15708243","1"
"15708458","3"
"15718946","7"
"15729314","367"
"15743643","3"
"15759579","1"
"15793721","2"
"15794603","6"
"15915198","1"
"15956179","12"
"15998060","3"
"16020916","1"
"16077481","3"
"16116800","10"
"16195282","10"
"16219560","1"
"16224803","1"
"16290623","1"
"16307010","2"
"16363717","1"
"16415741","10"
"16550843","1"
"16569855","1"
"16611808","23"
"16638704","1"
"16640920","3"
"16691009","1"
"16717734","1"
"16723951","4"
"16730686","1"
"16733587","1"
"16754990","8"
"16770502","2"
"16798228","1"
"16834666","1"
"16904075","6"
"16949824","3"
"16988042","1"
"17009322","1"
"17036156","49"
"17059127","4"
"17134485","1"
"17139019","38"
"17169141","1"
"17193964","1"
"17251459","8"
"17273246","1"
"17322266","1"
"17373284","2"
"17392942","1"
"17466008","2"
"17466721","1"
"17479978","1"
"17529102","1"
"17532093","1"
"17539972","4"
"17593904","4"
"17629210","33"
"17646483","1"
"17648544","1"
"17664209","1"
"17746668","1"
"17784660","1"
"17840201","43"
"17879187","1"
"17921081","3"
"17922358","21"
"17964103","55"
"17982701","2"
"18026805","1"
"18028838","1"
"18029648","6"
"18035907","1"
"18199108","1"
"18258297","1"
"18260477","15"
"18272904","4"
"18290070","1"
"18355741","1"
"18418200","20"
"18461617","1"
"18498547","1"
"18507554","2"
"18513548","51"
"18552022","22"
"18646362","2"
"18714651","82"
"18719465","1"
"18822502","6"
"18993586","1"
"19099635","1"
"19122404","3"
"19147330","1"
"19314846","15"
"19329970","1"
"19379132","1"
"19517346","1"
"19525779","1"
"19537063","1"
"19552315","6"
"19581764","1"
"19600642","1"
"19630614","4"
"19637265","1"
"19641501","1"
"19664730","33"
"19685186","1"
"19689982","4"
"19755702","1"
"19758699","218"
"19820804","1"
"19823479","3"
"19936916","1"
"19943063","35"
"20008478","13"
"20029138","6"
"20029706","1"
"20030610","1"
"20064306","1"
"20224741","1"
"20226295","1"
"20265215","4"
"20285835","1"
"20311740","3"
"20349010","2"
"20378057","3"
"20398795","1"
"20410311","8"
"20425918","1"
"20434473","8"
"20465270","1"
"20508542","30"
"20532667","6"
"20634755","1"
"20637830","4"
"20647545","2"
"20680088","1"
"20752407","2"
"20754312","3"
"20774253","2"
"20835622","2"
"20844574","4"
"20935792","10"
"21034797","1"
"21065369","5"
"21125630","3"
"21191867","1"
"21216818","1"
"21341462","1"
"21358389","1"
"21603107","1"
"21640858","1"
"21770593","1"
"21864762","2"
"21908633","2"
"22076833","2"
"22085827","1"
"22116372","2"
"22208853","3"
"22211488","1"
"22236354","1"
"22278515","1"
"22331562","1"
"22402010","11"
"22513118","1"
"22823126","1"
"22946554","5"
"22984128","8"
"23114966","1"
"23115673","1"
"23249012","1"
"23465223","1"
"23471356","3"
"23537807","1"
"23600597","3"
"23924596","1"
"23961495","1"
"23964055","1"
"24240637","1"
"24283325","1"
"24349402","1"
"24431405","1"
"24491126","2"
"24498221","1"
"24540619","2"
"24568290","4"
"24618268","1"
"24663283","1"
"24899862","1"
"24900752","1"
"24908811","2"
"24938003","2"
"25004073","1"
"25040693","1"
"25076502","1"
"25256022","1"
"25395643","1"
"25440413","1"
"25545538","1"
"25650073","2"
"25672260","1"
"25944077","1"
"25954906","1"
"25977484","2"
"26091726","2"
"26112145","1"
"26119533","1"
"26276834","1"
"26341053","1"
"26392840","1"
"26459676","1"
"26588971","2"
"26674333","1"
"26783304","2"
"26873823","1304"
"26936537","1"
"26961388","1"
"26965543","2"
"27051487","1"
"27147563","1"
"27232955","1"
"27306008","1"
"27345935","1"
"27375757","2"
"27422150","1"
"27434109","2"
"27469596","1"
"27499427","1"
"27501293","3"
"27530962","1"
"27533386","1"
"27536536","1"
"27681681","1"
"27740539","2"
"27852169","1"
"27980298","1"
"28085151","4"
"28117425","2"
"28119927","1"
"28139204","1"
"28153902","1"
"28169699","1"
"28357332","1"
"28405382","1"
"28459924","11"
"28475997","2"
"28486256","1"
"28510906","1"
"28552779","1"
"28581442","1"
"28592646","1"
"28690670","3"
"28754602","1"
"28758106","1"
"28947710","1"
"28952769","2"
"29023113","1"
"29116788","1"
