"`id`","`nr_of_pull_requests`"
"6","11680"
"231","355"
"280","77"
"334","441"
"391","19"
"392","4723"
"675","242"
"735","129"
"788","154"
"799","341"
"982","73"
"1022","33"
"1182","973"
"1207","1601"
"1305","18"
"1615","46"
"1620","389"
"1742","113"
"1743","486"
"1799","2571"
"1819","24"
"1962","506"
"1996","55"
"2146","296"
"2204","5"
"2727","568"
"2746","874"
"2864","82"
"3052","26"
"3386","122"
"3430","87"
"3457","54"
"3595","96"
"3623","215"
"3648","6"
"3751","14"
"3928","53"
"4021","311"
"4068","1156"
"4095","3468"
"4267","535"
"4276","176"
"4281","12"
"4346","13"
"4432","35"
"4473","19"
"4654","37"
"4711","1461"
"4846","299"
"4929","124"
"5124","643"
"5161","78"
"5184","368"
"5455","1437"
"5478","101"
"5497","53"
"5626","629"
"5629","211"
"5874","60"
"6009","56"
"6053","8"
"6223","76"
"6313","1996"
"6413","285"
"6848","139"
"6931","46"
"6978","94"
"7059","87"
"7149","47"
"7233","339"
"7317","252"
"7756","696"
"7836","224"
"7982","133"
"8127","3153"
"8184","644"
"8304","51"
"8329","36"
"8390","334"
"8525","486"
"8566","95"
"8833","179"
"8892","183"
"9259","275"
"9383","19"
"9682","201"
"9709","5"
"9713","24"
"9716","229"
"9951","61"
"10070","4590"
"10197","307"
"10462","11"
"10512","29"
"10579","26"
"10594","154"
"10686","14"
"10798","506"
"10912","2359"
"11067","3"
"11435","196"
"11820","351"
"11902","571"
"12031","1173"
"12257","33"
"12258","851"
"12830","915"
"12831","169"
"12885","812"
"13235","164"
"13436","118"
"13718","176"
"13747","22"
"13929","39"
"14061","97"
"14098","1376"
"14622","24"
"14763","32"
"14952","279"
"15433","78"
"15728","69"
"15756","268"
"15762","2907"
"16113","11"
"16376","10"
"16462","102"
"16639","113"
"16820","82"
"16836","50"
"17000","280"
"17165","411"
"17411","9"
"17730","22"
"17742","60"
"17798","132"
"18003","10"
"18045","72"
"18090","126"
"18571","140"
"18601","41"
"18941","6"
"19019","13"
"19030","39"
"19375","20"
"19579","9"
"19615","1"
"19626","171"
"19640","9"
"19806","63"
"19996","10"
"20138","115"
"20678","67"
"21218","89"
"21274","227"
"21530","126"
"21621","632"
"22086","43"
"22321","188"
"22528","339"
"22551","155"
"22772","8"
"23085","22"
"23122","29"
"23238","116"
"23301","235"
"23429","12"
"23605","68"
"23670","90"
"23834","593"
"23888","20"
"24177","9"
"24213","25"
"24326","15"
"24522","13"
"24559","417"
"24603","156"
"24889","33"
"24960","52"
"25016","27"
"25359","33"
"25380","149"
"25986","28"
"26624","878"
"26636","112"
"26688","285"
"27046","952"
"27194","26"
"28009","45"
"28054","99"
"28069","124"
"28204","297"
"28556","121"
"28576","54"
"29172","36"
"29762","131"
"29914","231"
"29991","77"
"30402","513"
"30738","59"
"30761","3"
"31283","17"
"31366","120"
"32023","251"
"32107","4"
"32638","60"
"33227","4"
"33565","158"
"33656","98"
"34288","18"
"35473","37"
"36413","92"
"36591","4"
"36713","508"
"37623","10"
"37778","4"
"38658","11"
"38744","168"
"39027","100"
"39044","33"
"39075","705"
"40389","145"
"41498","21"
"42948","2"
"43969","5"
"45141","11"
"45669","18"
"45702","4"
"48829","7"
"48951","11"
"49570","44"
"50875","250"
"53018","25"
"53286","107"
"54351","107"
"54491","141"
"54745","13"
"54785","16"
"56374","214"
"58642","39"
"58903","33"
"59582","2"
"59607","28"
"59830","16"
"62093","2"
"64212","146"
"64390","21"
"64654","97"
"65772","7"
"70499","10"
"74160","8"
"84341","38"
"85800","14"
"87135","33"
"87869","51"
"88390","3"
"90988","1"
"96553","675"
"96689","53"
"96763","6"
"98743","28"
"99731","3"
"100266","16"
"102179","233"
"104483","4"
"106815","2"
"106864","47"
"107530","1"
"110992","9"
"112249","61"
"112262","4"
"112292","3"
"113880","20"
"114167","4016"
"116162","3"
"118048","20"
"118551","11"
"119275","19"
"119977","50"
"120216","4"
"120707","24"
"123356","5"
"124505","102"
"126778","12"
"131286","28"
"134290","2"
"141145","23"
"141261","44"
"142406","5"
"149332","299"
"150716","1"
"153822","24"
"154114","1"
"156773","6"
"158753","479"
"159999","28"
"164085","13"
"166720","1"
"167194","13"
"167303","56"
"167985","55"
"169454","8"
"169529","13"
"176492","18"
"180685","15"
"181526","810"
"182702","296"
"185861","32"
"189681","72"
"204692","119"
"205834","6"
"206270","3"
"209924","2"
"214505","3"
"214552","5"
"216447","79"
"219601","54"
"220953","2"
"222916","3"
"223537","17"
"224435","24"
"231026","67"
"233193","2"
"242564","8"
"243431","60"
"244129","17"
"244417","58"
"246730","8"
"255320","12"
"260066","5"
"262948","2"
"263107","4"
"267105","70"
"267717","14"
"276344","5"
"280617","73"
"284018","2"
"285798","21"
"306833","1"
"306908","5"
"309661","5"
"311780","15"
"313268","77"
"319466","14"
"321869","2059"
"323565","19"
"326476","7"
"328815","35"
"335881","2"
"337343","12"
"338816","1"
"343698","35"
"344063","7"
"348868","4"
"357887","15"
"362053","12"
"362894","24"
"363605","2"
"366402","7"
"374916","8"
"386790","2"
"414089","9"
"419651","33"
"422791","1"
"427496","2"
"440795","8"
"445199","15"
"450328","12"
"460773","1"
"497181","1"
"499056","6"
"543497","85"
"546329","1"
"569534","1"
"572040","58"
"576260","2"
"615055","6"
"640609","1"
"643697","17"
"651549","54"
"683351","1411"
"686542","1"
"696102","1613"
"705818","14"
"718118","29"
"719340","1"
"723307","10"
"724361","2"
"738430","529"
"742622","16"
"743378","29"
"750986","12"
"771049","3"
"772395","1"
"784448","21"
"811373","8"
"811401","37"
"812923","1"
"839143","3"
"870927","1"
"927777","9"
"1001578","261"
"1008365","20"
"1017307","2"
"1036996","3"
"1059797","8"
"1084208","2"
"1093294","10"
"1117036","5"
"1124381","1"
"1195142","6"
"1242075","2"
"1261926","2"
"1270737","357"
"1344179","240"
"1352199","353"
"1354419","74"
"1366256","12"
"1367068","34"
"1367228","59"
"1372746","16"
"1381021","226"
"1382032","1"
"1391701","9"
"1397723","33"
"1404659","15"
"1416473","91"
"1432150","60"
"1434458","130"
"1437288","197"
"1438441","721"
"1453441","1"
"1457727","158"
"1471234","1"
"1471568","2"
"1474764","18"
"1486549","32"
"1526024","5"
"1528221","4367"
"1545229","12"
"1546988","3"
"1690743","47"
"1698522","109"
"1713442","210"
"1749436","113"
"1764042","7"
"1778841","26"
"1838125","9"
"1852141","12"
"1890840","2"
"1891776","7"
"1892389","1"
"1893164","6"
"1900934","59"
"1903462","3"
"1916255","1"
"1918558","3"
"1927874","56"
"1927881","2"
"1961397","195"
"1964893","4"
"1965404","10"
"1977847","17"
"1989790","753"
"1991636","86"
"2146436","2"
"2201979","2"
"2213273","1"
"2241376","12"
"2244312","7"
"2244481","12"
"2246039","3"
"2249262","6"
"2250690","18"
"2255699","2"
"2257096","61"
"2257240","347"
"2266052","9"
"2281819","35"
"2294498","1114"
"2312008","4"
"2337743","1"
"2340614","17"
"2345204","8"
"2363619","22"
"2363758","805"
"2372421","6"
"2381629","9"
"2389915","92"
"2404370","47"
"2417208","5"
"2421460","12"
"2422498","1"
"2445228","1"
"2447212","10"
"2476937","4"
"2480777","1"
"2535892","3"
"2662867","2"
"2702530","3"
"2719572","5"
"2728868","153"
"2739871","2"
"2752178","86"
"2768008","38"
"2771181","3"
"2787691","16"
"2796362","16"
"2798946","2"
"2801361","3"
"2807863","11"
"2814268","3"
"2835325","20"
"2847808","412"
"2862294","35"
"2875658","7"
"2889040","30"
"2922319","63"
"2923558","16"
"3018979","49"
"3036595","1"
"3048906","12"
"3063823","1"
"3067095","5"
"3117680","6"
"3122758","2"
"3136825","1110"
"3168742","66"
"3180895","1"
"3201792","55"
"3213902","26"
"3236423","1"
"3250844","4"
"3276139","165"
"3286419","13"
"3287419","1"
"3290625","2148"
"3321949","134"
"3346024","481"
"3361740","32"
"3368849","32"
"3389811","7"
"3413879","54"
"3427780","12"
"3429645","2"
"3434493","157"
"3462816","2"
"3465213","23"
"3498338","20"
"3499917","2"
"3513117","34"
"3523460","27"
"3524332","26"
"3529137","8"
"3582345","22"
"3594572","1"
"3610783","84"
"3631888","9"
"3642978","236"
"3649472","14"
"3664437","527"
"3669790","2"
"3706501","1"
"3714509","20"
"3716978","35"
"3752385","1"
"3756185","8"
"3759006","55"
"3769056","1"
"3770464","1"
"3807912","20"
"3814424","2"
"3827244","4"
"3863843","66"
"3874746","10"
"3893356","14"
"3905191","2886"
"3908715","13"
"3961217","2"
"3983276","3"
"3992573","90"
"4003838","354"
"4019026","13"
"4035765","3"
"4069483","11"
"4115240","18"
"4120130","47"
"4136027","47"
"4142580","6"
"4160390","42"
"4192518","5"
"4198417","255"
"4255397","7"
"4326459","2"
"4342100","4"
"4420524","6"
"4428725","5"
"4467262","5"
"4484156","133"
"4513783","101"
"4563307","16"
"4563494","3450"
"4584491","29"
"4588007","162"
"4605271","13"
"4629745","2"
"4646758","1"
"4663721","8"
"4695209","56"
"4753416","1"
"4773093","11"
"4786655","2"
"4819374","53"
"4877698","35"
"4879481","2"
"4882831","71"
"4894767","119"
"4904730","21"
"4911527","7"
"4926223","51"
"4933925","12"
"4963729","26"
"4988377","16"
"4992188","310"
"5042362","8"
"5074778","79"
"5095078","149"
"5120709","2"
"5140545","50"
"5145060","10"
"5146456","39"
"5195927","4"
"5205541","23"
"5216745","61"
"5312058","44"
"5371237","8"
"5377260","8"
"5379586","1"
"5399390","30"
"5411876","2"
"5428457","11"
"5430540","4"
"5435325","45"
"5507363","234"
"5522468","62"
"5534759","37"
"5552730","16"
"5555823","3"
"5565375","12"
"5593627","5"
"5597614","2"
"5598479","284"
"5600557","19"
"5602838","6"
"5604899","113"
"5617024","32"
"5630665","31"
"5636078","100"
"5718353","10"
"5741726","70"
"5784154","1"
"5807266","191"
"5817753","166"
"5828347","1155"
"5846748","208"
"5942149","54"
"5944667","3"
"6013073","5"
"6065511","20"
"6068879","214"
"6085795","9"
"6087555","3"
"6095575","1"
"6096676","58"
"6169171","3"
"6172020","173"
"6191402","20"
"6196408","8"
"6210932","3"
"6236268","89"
"6239513","2"
"6253776","31"
"6278048","102"
"6280726","23"
"6312005","35"
"6318240","6"
"6328765","67"
"6399055","9"
"6403871","32"
"6404061","2"
"6412773","277"
"6441856","58"
"6442229","131"
"6451691","12"
"6462793","10"
"6476825","3"
"6496393","570"
"6587692","2"
"6611850","37"
"6653643","976"
"6699074","247"
"6704373","9"
"6712024","8"
"6800846","4"
"6816151","40"
"6843683","9"
"6853230","1"
"6861499","12"
"6916565","7"
"6965574","2"
"6970257","5"
"6988298","15"
"6988998","37"
"7001356","112"
"7019686","117"
"7075652","5"
"7105340","7"
"7113913","10"
"7132386","5"
"7158417","38"
"7164842","18"
"7170693","140"
"7189065","23"
"7190023","5"
"7212462","352"
"7215130","125"
"7222746","57"
"7228519","187"
"7240106","164"
"7249970","2"
"7260288","38"
"7266288","84"
"7294438","7"
"7304063","30"
"7306369","1"
"7306673","28"
"7308213","1"
"7326980","16"
"7383416","2"
"7412153","1"
"7420900","26"
"7432562","23"
"7461031","26"
"7489584","70"
"7504851","3"
"7537997","20"
"7570729","159"
"7607012","22"
"7617634","154"
"7654253","15"
"7666955","76"
"7722836","2"
"7732133","4"
"7738640","17"
"7751311","70"
"7753732","158"
"7769665","35"
"7808122","6"
"7810452","24"
"7811703","1"
"7835118","52"
"7883108","15"
"7883561","27"
"7924929","1"
"7952993","19"
"7980702","11"
"8012811","4"
"8017772","320"
"8117762","5"
"8125526","41"
"8137228","18"
"8142691","1"
"8169424","8"
"8228397","1"
"8296041","16"
"8339162","2"
"8404580","1"
"8405131","57"
"8515356","4"
"8532385","2"
"8532554","19"
"8566806","24"
"8576259","43"
"8596480","1"
"8634501","231"
"8670482","1"
"8688328","130"
"8734343","17"
"8769923","1"
"8772689","2"
"8776028","67"
"8784767","15"
"8818018","129"
"8875437","17"
"8875464","45"
"8905797","93"
"8906917","33"
"8913435","13"
"8939716","3"
"8944249","1"
"9078570","2"
"9121894","139"
"9232309","111"
"9240557","1"
"9268752","11"
"9282939","16"
"9343717","9"
"9344074","209"
"9352549","34"
"9400432","24"
"9468307","7"
"9478333","85"
"9504109","1"
"9511165","5"
"9570005","18"
"9597076","1"
"9626183","1514"
"9650960","14"
"9658872","1402"
"9659919","2"
"9664486","7"
"9687174","9"
"9701695","9"
"9703605","6"
"9704915","1"
"9706049","5589"
"9709068","4"
"9709116","56"
"9717218","3"
"9726637","2"
"9727940","98"
"9745677","2"
"9755937","4"
"9862004","74"
"9893161","1"
"9906217","38"
"9908329","45"
"9912292","3"
"9930325","15"
"9961002","30"
"9975034","4"
"9983686","3"
"10053600","36"
"10084678","649"
"10123492","1"
"10138664","2"
"10172529","1"
"10188194","62"
"10196307","4"
"10199826","9"
"10233169","4"
"10282819","4"
"10296656","121"
"10301817","225"
"10358518","3"
"10377821","79"
"10379711","137"
"10388177","49"
"10396798","16"
"10410843","5"
"10412281","51"
"10425716","16"
"10432015","4"
"10435441","38"
"10435922","16"
"10447564","1"
"10451754","2"
"10464490","7"
"10520061","67"
"10521722","186"
"10526188","22"
"10548198","152"
"10574931","9"
"10576004","1043"
"10585250","63"
"10589306","1"
"10631290","4"
"10660095","7"
"10733538","1"
"10741429","2"
"10777706","45"
"10784470","45"
"10803994","12"
"10814377","48"
"10815238","58"
"10817458","158"
"10819648","16"
"10829314","18"
"10832091","124"
"10832897","26"
"10832960","16"
"10834528","5"
"10910878","3"
"10936889","29"
"10947458","10"
"10953007","28"
"10955983","9"
"10956038","2"
"10963081","4"
"10964976","2"
"11001304","2"
"11061859","15"
"11072255","23"
"11080800","4"
"11083412","1"
"11095632","3"
"11107988","120"
"11120703","5"
"11127510","72"
"11132347","30"
"11139593","96"
"11144636","50"
"11165808","4"
"11175147","1"
"11176827","14"
"11182376","42"
"11197300","5"
"11212499","2"
"11227723","3"
"11228451","104"
"11238565","16"
"11265367","2"
"11291526","42"
"11297052","1"
"11318999","17"
"11323491","74"
"11338993","12"
"11362536","4"
"11402707","2"
"11467831","1"
"11473240","38"
"11474560","1"
"11494393","406"
"11554847","9"
"11570176","2"
"11605642","38"
"11622535","214"
"11625417","14"
"11668604","4"
"11680693","1"
"11702237","15"
"11706023","39"
"11707880","24"
"11735060","1"
"11737051","37"
"11744765","14"
"11746264","1"
"11753236","47"
"11761587","4"
"11784159","38"
"11785544","14"
"11797084","2"
"11802012","5"
"11850935","6"
"11854803","36"
"11912097","8"
"12170217","14"
"12192051","24"
"12197208","1"
"12226983","5"
"12229395","3"
"12308151","1"
"12315617","3"
"12316998","1"
"12402890","4"
"12449377","3"
"12474524","2"
"12520304","9"
"12582238","40"
"12586102","4"
"12653317","46"
"12666384","253"
"12670029","5"
"12682828","2"
"12682853","131"
"12715530","4"
"12719568","4"
"12740796","15"
"12746037","55"
"12749140","2"
"12798077","1"
"12806676","12"
"12814859","355"
"12821674","12"
"12908987","8"
"13061306","45"
"13071706","49"
"13082203","2"
"13095216","1279"
"13128433","8"
"13155583","1"
"13334964","44"
"13368782","7"
"13393204","30"
"13403042","268"
"13430369","6"
"13454056","6"
"13462180","94"
"13464028","3"
"13480659","3"
"13481226","52"
"13489032","21"
"13490952","4"
"13494877","53"
"13509074","7"
"13520780","16"
"13523497","3"
"13537757","3"
"13539138","32"
"13570263","7"
"13585659","1"
"13593152","2"
"13595364","1"
"13603046","1"
"13613053","117"
"13615253","13"
"13621454","4"
"13635889","1"
"13636760","1"
"13640327","2"
"13642463","96"
"13664602","1"
"13679102","7"
"13680016","3"
"13719308","2"
"13719548","1"
"13735930","1"
"13737011","67"
"13740270","1"
"13742311","6"
"13747894","3"
"13759969","21"
"13837159","7"
"13865588","4"
"14000694","4"
"14101318","10"
"14116012","26"
"14210902","55"
"14263163","38"
"14286406","31"
"14328878","1"
"14457963","141"
"14505051","19"
"14515342","467"
"14543063","1"
"14545279","66"
"14682420","608"
"14771481","209"
"14773650","35"
"14782669","4"
"14806250","5"
"14847736","2"
"14880605","6"
"14897153","4"
"14957066","4"
"14959628","24"
"14989257","19"
"14995115","40"
"15017277","17"
"15022227","3130"
"15080529","14"
"15125364","10"
"15195328","6"
"15205847","1"
"15246185","6"
"15363005","1"
"15471020","3"
"15500909","21"
"15509641","21"
"15525750","184"
"15536213","11"
"15536505","1"
"15548976","27"
"15573016","2"
"15592045","85"
"15623292","27"
"15627284","88"
"15669545","4"
"15676204","106"
"15710174","32"
"15718946","5"
"15778405","53"
"15794603","9"
"15867274","8"
"15962985","31"
"16030648","1"
"16154948","15"
"16174927","39"
"16195282","1"
"16230400","49"
"16310355","81"
"16409333","2"
"16423884","10"
"16428381","1"
"16534152","3"
"16640920","3"
"16647116","176"
"16741757","186"
"16754990","1"
"16770502","1"
"16782015","134"
"16792291","106"
"16834666","1"
"16837900","16"
"16846494","2"
"16988139","11"
"17020688","5"
"17038695","1"
"17081302","15"
"17296591","786"
"17328893","15"
"17332041","1"
"17472048","5"
"17539972","5"
"17593904","54"
"17753126","16"
"17785086","7"
"17865733","10"
"17867788","65"
"17924077","99"
"17941398","4"
"18006157","62"
"18013712","4"
"18022219","286"
"18029648","16"
"18054793","99"
"18059452","2"
"18236982","10"
"18257960","59"
"18260477","327"
"18272904","4"
"18313948","9"
"18429672","13"
"18469788","11"
"18552022","41"
"18655199","10"
"18674058","6"
"18781956","97"
"18810686","17"
"18821370","58"
"18847237","7"
"18869596","14"
"18903735","1"
"18904813","697"
"19010386","27"
"19047987","11"
"19085523","1"
"19185130","3"
"19320997","57"
"19569279","1"
"19644716","10"
"19685186","1"
"19696936","13"
"19710500","5"
"20029138","5"
"20138487","15"
"20163538","5"
"20390809","1"
"20425918","3"
"20450716","1"
"20450796","48"
"20465270","2"
"20532547","10"
"20666664","16"
"20682630","23"
"20737229","27"
"20752407","20"
"20754312","1"
"20835622","1"
"20844574","5"
"21044484","4"
"21058198","252"
"21065369","3"
"21125630","3"
"21174695","9"
"21187110","12"
"21216818","3"
"21618029","2"
"21629316","10"
"21784371","7"
"21864762","1"
"21908633","1"
"21921763","4"
"21924858","9"
"21971963","54"
"22041659","24"
"22042237","47"
"22045114","14"
"22046894","84"
"22047350","97"
"22050640","35"
"22052042","1"
"22053762","2"
"22054830","22"
"22056425","1"
"22056630","6"
"22076833","4"
"22077026","36"
"22084327","3"
"22095887","3"
"22105376","95"
"22110826","38"
"22123631","2"
"22208853","6"
"22402010","18"
"22833631","21"
"22946554","3"
"23428045","1"
"23458675","7"
"23471356","2"
"23600597","2"
"23620520","27"
"23775197","3"
"24136448","5"
"24177440","1"
"24240637","1"
"24265177","1"
"24272262","3"
"24908811","1"
"24919055","17"
"25037257","2"
"25037627","4"
"25045443","18"
"25051824","1"
"25070656","3"
"25830758","3"
"25858715","1"
"25977484","2"
"26108120","4"
"26550795","8"
"26783304","1"
"26873823","4"
"26965543","6"
"27299735","42"
"27326987","5"
"27375757","3"
"27406305","5"
"27428481","8"
"27496559","1"
"27623476","6"
"27633284","2"
"27671937","1"
"27676276","37"
"27859042","86"
"27955513","2"
"27977354","1"
"28033868","4"
"28085151","7"
"28117425","3"
"28119927","3"
"28178404","13"
"28317607","13"
"28338390","5"
"28376284","42"
"28401052","1"
"28625357","1"
"28690670","2"
"28992266","16"
