id,number_of_organization_members
231,9
280,7
392,60
788,3
1182,252
1207,15
1615,7
1799,9
1962,66
2146,56
4021,70
4068,34
4095,43
4267,13
4432,60
4654,7
4711,280
5124,12
5874,38
6053,84
6223,2
6313,77
6413,252
6848,97
7233,9
7756,53
8127,17
8304,183
8329,4
8525,19
8892,5
9259,97
9709,11
9951,31
10070,23
10579,4
10798,4
10912,7
12031,114
12258,29
13436,9
13718,59
15433,22
15762,47
16639,204
17411,6
18090,50
18941,3
19019,48
19626,18
21218,17
21530,40
21621,4
22321,8
22551,4
22772,54
23301,204
23670,15
24177,22
24559,15
24603,55
25986,30
26624,12
26636,56
26688,3
27046,43
28069,27
29914,7
30402,15
30738,9
32023,10
33565,1
36713,56
37623,3
38744,10
39027,8
45702,2
54351,36
58642,8
59607,4
59830,1
64212,48
78782,6
84341,6
90988,2
96553,40
99731,4
113880,280
114167,47
114751,1
118551,52
120707,10
124505,223
149332,16
158753,8
159999,6
164085,16
167303,10
167985,2
169529,12
181526,13
206270,44
244129,1
244417,5
246730,1
262948,1
267105,15
267717,8
284075,34
285798,29
319466,7
321869,12
343698,2
357887,9
374916,24
383256,4
427496,10
519333,2
569534,38
572040,30
576260,32
615055,3
683351,20
686542,38
696102,7
718118,56
723307,18
726806,20
811401,1
1001578,3
1008365,11
1084208,5
1270737,8
1344179,21
1352199,2
1366256,22
1367068,644
1367228,5
1381021,21
1397723,2
1412018,2
1438441,11
1453441,1
1471234,29
1500447,5
1524373,1
1528221,29
1546988,4
1619676,252
1690743,5
1698522,2
1838125,2
1890840,1
1903462,25
1927881,14
1961397,11
1977847,4
2244481,15
2294498,9
2535892,31
2661903,6
2662867,57
2749609,6
2796362,17
2814268,9
2835325,1
2847808,59
2922319,90
2923558,90
2945321,6
3122758,40
3136825,8
3168742,24
3250844,2
3276139,5
3434493,2
3498338,3
3642978,23
3649472,9
3664437,1
3706501,9
3756185,3
3807912,10
3905191,352
4136027,1
4428725,11
4477515,21
4513783,71
4563494,22
4584491,2
4605271,4
4882831,18
4894767,280
4911527,60
4963729,6
5095078,2
5205541,5
5565375,3
5600557,11
5630665,1
5778983,2
5807266,6
5828347,14
5846748,3
6065511,1
6172020,5
6236268,6
6239513,6
6253776,10
6412773,51
6442229,2
6498079,2
6611850,16
6653643,1
6699074,59
6704373,4
6712024,1
6816151,4
6861499,30
6965555,19
6965574,19
6970257,69
6988998,52
7019686,5
7075652,3
7113913,7
7147408,3
7158417,64
7189065,24
7190023,2
7212462,6
7228519,8
7266288,3
7306369,204
7306673,40
7489584,2
7607012,25
7617634,11
7654253,25
7722836,2
7738640,1
7751311,2
7753732,3
7810452,38
7883561,7
7940296,1
8017772,5
8125526,5
8313244,7
8387817,29
8405131,23
8566806,5
8576259,69
8634501,280
8688328,67
8734343,5
8818018,328
8875464,5
8939716,8
9121894,11
9268752,5
9282939,1
9352549,17
9382176,7
9400432,29
9478333,33
9599053,2
9626183,42
9650960,15
9658872,70
9706049,8
9727940,328
9755937,13
9862004,196
9865676,2
9908329,5
9961002,5
10066441,9
10084609,1
10084678,17
10172529,1
10196307,5
10358518,1
10377821,1
10388177,9
10396798,24
10432015,23
10435441,15
10520061,3
10521722,3
10548198,42
10576004,60
10589306,12
10631290,22
10777706,1
10784470,71
10812016,1
10815238,74
10817458,3
10832091,6
10832897,6
10832960,21
10953007,328
10955983,6
10956038,6
10964976,1
11001304,22
11061859,2
11107988,8
11139593,2
11144636,5
11165808,5
11212499,42
11227723,3
11338993,4
11362536,1
11474560,15
11494393,2
11622535,78
11706023,2
11707880,18
11735060,1
11737051,38
11744765,3
11753236,27
11797084,11
12092942,2
12170217,74
12226983,5
12260707,8
12326365,1
12350238,2
12666384,1
12806676,10
12814859,10
12908987,77
13071706,1
13095216,4
13334964,2
13393204,5
13454056,2
13489032,1
13595364,2
13613053,51
13636329,3
13642463,5
13664602,23
13680016,1
14000694,1
14179437,1
14286406,3
14429281,1
14457963,4
14545279,5
14771481,2
14847736,21
15022227,118
15384846,1
15573016,13
15623292,8
15627284,52
15676204,352
15710174,17
16030648,3
16174927,5
16230400,3
16310355,13
16423884,280
16534152,12
16647116,10
16741757,1
16792291,2
17081302,6
17193964,6
17539972,3
18054793,1
18260477,4
18469788,3
18552022,13
18655199,1
18781956,19
18810686,2
18904813,42
19010386,4
19122404,8
19185130,1
19320997,12
19569279,6
19685186,1
19936916,1
20532547,6
20647545,9
20682630,6
20737229,2
21058198,7
21629316,1
22041659,3
22042237,1
22053762,1
22054830,2
22056425,4
22076087,18
22077026,4
22110826,131
22208853,7
22946554,6
23471356,15
24136448,4
24272262,1
25977484,15
27299735,7
27406305,8
27530962,10
27676276,2
28338390,56
28376284,17
28992266,352
12682828,1
119977,1
11902,1
19806,1
3368849,1
11784159,1
784448,1
1742,1
1927874,1
12798077,1
7260288,1
10947458,1
9906217,1
23122,1
27623476,1
23605,1
9570005,1
25070656,1
9682,1
6278048,1
7666955,1
13520780,1
14505051,1
7304063,1
28204,1
16837900,1
8906917,1
10425716,1
28401052,1
11588385,1
6096676,1
21924858,1
11132347,1
280617,1
13679102,1
4588007,1
2363619,1
23834,1
243431,1
8776028,1
1432150,1
799,1
5435325,1
3201792,1
5507363,1
15778405,1
3759006,1
13403042,1
7001356,1
14782669,1
13462180,1
18257960,1
12740796,1
11854803,1
18674058,1
28054,1
18847237,1
54491,1
9232309,1
328815,1
18313948,1
18571,1
15592045,1
3863843,1
18869596,1
219601,1
7240106,1
13593152,1
14061,1
6312005,1
9716,1
14959628,1
4877698,1
3716978,1
7982,1
10464490,1
13737011,1
4198417,1
4346,1
182702,1
6843683,1
2363758,1
3346024,1
19996,1
11238565,1
1305,1
20138,1
36413,1
14622,1
1437288,1
10910878,1
3430,1
3427780,1
735,1
16836,1
1743,1
17753126,1
41498,1
6462793,1
13235,1
2746,1
19710500,1
3595,1
21274,1
15246185,1
6,1
6441856,1
141261,1
22086,1
7769665,1
7222746,1
3213902,1
9701695,1
2389915,1
12821674,1
1022,1
3714509,1
5184,1
1474764,1
6403871,1
14682420,1
10379711,1
24495953,1
25037257,1
19640,1
4484156,1
27326987,1
16782015,1
10301817,1
14101318,1
15728,1
14098,1
7059,1
16462,1
651549,1
4926223,1
14763,1
28009,1
11182376,1
11473240,1
12885,1
21971963,1
14989257,1
17865733,1
11435,1
40389,1
1749436,1
3321949,1
4276,1
15525750,1
5216745,1
15548976,1
10053600,1
25051824,1
16820,1
27194,1
11820,1
12830,1
15756,1
1404659,1
5399390,1
6009,1
5626,1
4120130,1
13061306,1
1457727,1
3893356,1
4846,1
18006157,1
13128433,1
3513117,1
50875,1
20450796,1
18013712,1
28178404,1
10197,1
5478,1
5146456,1
12719568,1
10829314,1
22045114,1
9687174,1
15962985,1
22105376,1
7215130,1
112249,1
18236982,1
12746037,1
34288,1
7980702,1
1991636,1
5604899,1
12831,1
2257240,1
11467831,1
3457,1
5741726,1
27859042,1
3524332,1
6328765,1
24960,1
14210902,1
7835118,1
13865588,1
23238,1
3610783,1
8833,1
6988298,1
10188194,1
29172,1
18821370,1
32638,1
17742,1
106864,1
7570729,1
22084327,1
7836,1
20450716,1
4904730,1
11850935,1
31366,1
24326,1
334,1
17296591,1
5636078,1
24889,1
3523460,1
812923,1
18045,1
14952,1
13837159,1
17165,1
11761587,1
5534759,1
23888,1
8566,1
15125364,1
743378,1
16988139,1
4929,1
7317,1
675,1
28625357,1
5312058,1
3529137,1
39044,1
2281819,1
8905797,1
5522468,1
3992573,1
22046894,1
25380,1
12682853,1
4115240,1
28556,1
13742311,1
15017277,1
5817753,1
5140545,1
11785544,1
13640327,1
5455,1
25037627,1
31283,1
29991,1
22528,1
5617024,1
17798,1
28317607,1
26108120,1
1620,1
17730,1
6068879,1
10412281,1
3928,1
5598479,1
8184,1
2752178,1
29762,1
742622,1
1900934,1
1996,1
11605642,1
23775197,1
1416473,1
13464028,1
11802012,1
18022219,1
5161,1
15867274,1
1434458,1
2727,1
25045443,1
738430,1
4819374,1
1486549,1
24919055,1
22047350,1
13368782,1
4003838,1
7149,1
56374,1
21187110,1
2728868,1
12749140,1
8390,1
14515342,1
3623,1
4563307,1
17328893,1
204692,1
12192051,1
11228451,1
1526024,1
23620520,1
2404370,1
15500909,1
8875437,1
11176827,1
15471020,1
2875658,1
13480659,1
16376,1
10435922,1
64390,1
13494877,1
61117,1
2252680,1
10834528,1
16409333,1
311780,1
5593627,1
17038695,1
10963081,1
222916,1
7952993,1
27633284,1
3386,1
15669545,1
982,1
362053,1
11746264,1
1891776,1
156773,1
6496393,1
10585250,1
11625417,1
11291526,1
13082203,1
8142691,1
19696936,1
8339162,1
231026,1
26550795,1
419651,1
13636819,1
2702530,1
11095632,1
9975034,1
10819648,1
543497,1
1713442,1
21719074,1
6533556,1
16154948,1
6280726,1
10686,1
13539138,1
36591,1
11570176,1
38658,1
1893164,1
4326459,1
32107,1
9713,1
102179,1
6169171,1
4933925,1
98743,1
18097224,1
4629745,1
9659919,1
5195927,1
9709116,1
12402890,1
13398866,1
10138664,1
13490952,1
4473,1
17020688,1
100266,1
4026408,1
13759969,1
3052,1
14897153,1
23458675,1
15417633,1
53018,1
87135,1
13635889,1
4003,1
10282819,1
6085795,1
7164842,1
7537997,1
19579,1
2447212,1
6196408,1
9912292,1
13523497,1
54785,1
12582238,1
10280298,1
16428381,1
3814424,1
7326980,1
6978,1
6210932,1
4786655,1
3582345,1
2719572,1
176492,1
6587692,1
9078570,1
48951,1
4539094,1
27671937,1
14773650,1
4467262,1
2241376,1
10773454,1
1989790,1
91363,1
5497,1
6191402,1
1778841,1
23085,1
4903941,1
14328878,1
28033868,1
79442,1
3683487,1
5629,1
167194,1
27977354,1
7170693,1
24729237,1
4019026,1
1027466,1
8296041,1
22095887,1
2889040,1
9983686,1
8532554,1
112292,1
2978560,1
263107,1
10594,1
19717550,1
6087555,1
4281,1
19761685,1
18601,1
1117036,1
17941398,1
3465213,1
14995115,1
313268,1
3361740,1
20390809,1
6451691,1
2204,1
11183490,1
14116012,1
11702237,1
8117762,1
13621454,1
15536213,1
2862294,1
18903735,1
11318999,1
6476825,1
19375,1
118048,1
141145,1
12520304,1
6399055,1
14627410,1
41849,1
1059797,1
2417208,1
65772,1
9895007,1
13735930,1
33227,1
4663721,1
5428457,1
19047987,1
4646758,1
27881432,1
12449377,1
27428481,1
3048906,1
17785086,1
19030,1
8532385,1
19644716,1
7461031,1
15363005,1
3290625,1
255320,1
11402707,1
6916565,1
15205847,1
3961217,1
13544235,1
11072255,1
11912097,1
153822,1
12653317,1
17070556,1
53286,1
10296656,1
10512,1
150716,1
45141,1
18003,1
12630000,1
110992,1
28576,1
9726637,1
2257096,1
10451754,1
106815,1
20163538,1
13509074,1
4342100,1
39075,1
35473,1
3413879,1
5555823,1
8515356,1
12670029,1
323565,1
22052042,1
5145060,1
10649,1
5042362,1
499056,1
3067095,1
450328,1
17708574,1
131286,1
1036996,1
54068,1
7556976,1
391,1
4142580,1
9745677,1
9930325,1
64654,1
11554847,1
15239162,1
8169424,1
8784767,1
1819251,1
4192518,1
13481226,1
30761,1
6013073,1
1545229,1
10233169,1
13615253,1
7808122,1
27955513,1
87869,1
362894,1
366402,1
14957066,1
643697,1
705818,1
15195328,1
11704557,1
4660569,1
21784371,1
17867788,1
242564,1
13747,1
10258995,1
7420900,1
24213,1
24522,1
23428045,1
185861,1
216447,1
21618029,1
7105340,1
348868,1
7294438,1
5074778,1
25016,1
18429672,1
21174695,1
1819,1
2807863,1
17000,1
11265367,1
4988377,1
19085523,1
45669,1
18937463,1
58903,1
6318240,1
27496559,1
1965404,1
16113,1
6278863,1
49570,1
25359,1
8427119,1
10410843,1
2340614,1
2862977,1
771049,1
9383,1
8137228,1
3631888,1
3874746,1
9717218,1
6931,1
24265177,1
3908715,1
12257,1
7308213,1
42948,1
4160390,1
126778,1
22056630,1
4540322,1
12586102,1
11175147,1
5411876,1
4069483,1
33656,1
19594347,1
2249262,1
21044484,1
20435182,1
10660095,1
7924929,1
1372746,1
5942149,1
8012811,1
7132386,1
12197208,1
22833631,1
20873386,1
22050640,1
27777181,1
180685,1
1261926,1
207212,1
11924541,1
85800,1
82957,1
445199,1
11120703,1
154114,1
4035765,1
5430540,1
2250690,1
4420524,1
15080529,1
2864,1
9344074,1
17924077,1
3063823,1
11323491,1
36313,1
9468307,1
20138487,1
116162,1
4773093,1
20666664,1
25830758,1
15509641,1
3117680,1
10462,1
20678,1
2476937,1
62093,1
9026379,1
2421460,1
224435,1
4992188,1
10574931,1
2513836,1
14698825,1
22141768,1
12229395,1
12761803,1
5152250,1
2365356,1
18059812,1
13097260,1
18790667,1
870927,1
28923864,1
119275,1
2244312,1
25858715,1
5078978,1
12878383,1
1397125,1
1124381,1
1391701,1
3648,1
17472048,1
3286419,1
17021738,1
22053634,1
10260382,1
1228020,1
748510,1
10936889,1
123356,1
120216,1
122760,1
17332041,1
1328973,1
21312489,1
2255699,1
2771181,1
3659421,1
16846494,1
19612571,1
169454,1
214552,1
422791,1
124137,1
13740270,1
14027141,1
104483,1
1904790,1
13719308,1
21974766,1
1918558,1
16622735,1
22123631,1
142406,1
1892389,1
146205,1
335881,1
11297052,1
2337743,1
603530,1
3018979,1
460773,1
1382032,1
14848865,1
42214,1
13655055,1
7504851,1
20955762,1
306833,1
386790,1
5371237,1
2798946,1
18059452,1
11680693,1
1011413,1
10752463,1
9817959,1
21921763,1
37778,1
719340,1
338816,1
454235,1
8485455,1
326476,1
4753416,1
24177440,1
22167327,1
30653,1
2922620,1
7013556,1
3592410,1
4879481,1
1354419,1
2739871,1
18415473,1
96689,1
16770502,1
11512622,1
6299920,1
12715530,1
1436875,1
88390,1
3036595,1
9343717,1
5379586,1
3751,1
2987164,1
17664209,1
8772689,1
9597076,1
11537177,1
4722740,1
927777,1
1100704,1
41254,1
214505,1
24908811,1
28690670,1
20835622,1
15536505,1
6882788,1
4476638,1
28153902,1
74160,1
414089,1
5368058,1
13685691,1
54745,1
3499917,1
201672,1
8847632,1
10854850,1
440795,1
59582,1
10829089,1
20465270,1
773433,1
107530,1
19581764,1
28851599,1
14057734,1
3296518,1
450059,1
6853230,1
4291112,1
2381629,1
3180895,1
2145058,1
233193,1
5784154,1
7645899,1
13719548,1
55259,1
2381679,1
3236423,1
306908,1
3752385,1
176596,1
209924,1
13585659,1
6095575,1
3594572,1
10447564,1
8339915,1
1764042,1
17466008,1
137246,1
6753616,1
772395,1
9703605,1
5472160,1
14880605,1
3708910,1
43969,1
23600597,1
10803994,1
23249012,1
19615,1
11197300,1
6800846,1
17532093,1
2345204,1
20425918,1
16640920,1
1242075,1
1414836,1
16733587,1
9392393,1
4695209,1
16195282,1
112262,1
5568720,1
10814377,1
8404580,1
3283518,1
12967267,1
2660015,1
12315617,1
189681,1
238698,1
5989485,1
2874293,1
579759,1
3641172,1
18250,1
8596480,1
11733127,1
12589909,1
126528,1
11720517,1
1852141,1
12316998,1
7249970,1
17273246,1
7198962,1
21065369,1
3872943,1
10199826,1
724361,1
1964893,1
2266052,1
21125630,1
2375290,1
4780077,1
14806250,1
7883108,1
8270641,1
3770464,1
2206890,1
9160279,1
2445228,1
20226295,1
48829,1
28085151,1
17879187,1
94451,1
5718353,1
1214622,1
5944667,1
7305150,1
23429,1
8670482,1
18993586,1
24540619,1
15646653,1
750986,1
1600439,1
10526188,1
14737226,1
9893161,1
640609,1
7432562,1
21603107,1
9540082,1
15794603,1
22402010,1
9982219,1
7811703,1
220953,1
7361572,1
10192555,1
9704915,1
3669790,1
26783304,1
16988042,1
13747894,1
2246039,1
363605,1
12313618,1
27375757,1
12509066,1
9504109,1
9709068,1
2940997,1
12262320,1
3462816,1
18028838,1
18272904,1
979207,1
843214,1
2312008,1
6307815,1
6404061,1
26674333,1
11080800,1
601064,1
3983276,1
344063,1
1916255,1
11067,1
1083125,1
11066875,1
20752407,1
2146436,1
3287419,1
4255397,1
3429645,1
25954906,1
13570263,1
546329,1
8228397,1
70499,1
223537,1
9511165,1
16834666,1
10473430,1
2801361,1
15718946,1
9664486,1
4607985,1
1195142,1
4776433,1
14263163,1
5597614,1
307612,1
11662013,1
1607018,1
2709309,1
2315431,1
16020916,1
7383416,1
3769056,1
276344,1
652682,1
13636760,1
7732133,1
17593904,1
21908633,1
8769923,1
9051214,1
497181,1
15531805,1
839143,1
1015480,1
2787691,1
811373,1
69069,1
14543063,1
284018,1
96763,1
12308151,1
9240557,1
28117425,1
2281243,1
2768008,1
337343,1
911527,1
2201979,1
12508484,1
309661,1
15134766,1
4045632,1
5979563,1
18035907,1
2207463,1
11127510,1
8913435,1
5602838,1
10125352,1
26965543,1
205834,1
3389811,1
2409137,1
1471568,1
47940,1
2229635,1
3827244,1
2601235,1
16219560,1
166720,1
2422498,1
26392840,1
2480777,1
12474524,1
9139436,1
260066,1
12274903,1
10555368,1
677148,1
81444,1
16798228,1
19525779,1
9931815,1
1449551,1
673716,1
4058558,1
20029138,1
14435272,1
13778815,1
20285835,1
10741429,1
2909754,1
28459924,1
134290,1
21864762,1
3173347,1
303616,1
1017307,1
1093294,1
1031791,1
18029648,1
10733538,1
23537807,1
12059663,1
25256022,1
4569976,1
14310944,1
5798893,1
15205203,1
1303073,1
20378057,1
13624635,1
12516628,1
455467,1
2467228,1
8758294,1
19637265,1
26961388,1
10060643,1
5304081,1
11453235,1
18719465,1
22116372,1
20532667,1
17169141,1
22076833,1
13678610,1
25004073,1
5573155,1
21191867,1
13126326,1
16904075,1
11348682,1
16569855,1
5927767,1
21216818,1
13929,1
27980298,1
15743643,1
21034797,1
27434109,1
4929815,1
22823126,1
12807650,1
17322266,1
8789813,1
20410311,1
20008478,1
12861561,1
17646483,1
7199692,1
27422150,1
3095960,1
3040840,1
5350409,1
27751995,1
18221297,1
17964103,1
788950,1
23465223,1
18646362,1
19517346,1
8475145,1
1886159,1
25672260,1
9777067,1
9866862,1
5552730,1
17922358,1
24498221,1
21582674,1
1949584,1
19790971,1
17466721,1
17143234,1
6225214,1
5427047,1
24240637,1
4583981,1
22822302,1
7146853,1
6571469,1
9995314,1
5731028,1
15956179,1
28119927,1
18498547,1
11581362,1
12738012,1
28592646,1
20637830,1
27533386,1
1189471,1
25395643,1
2051124,1
3308302,1
3997006,1
13537757,1
19153219,1
16730686,1
9346606,1
25032410,1
3163883,1
17059127,1
28205753,1
15082688,1
28510906,1
21584862,1
11817714,1
22984128,1
9255018,1
12280393,1
27501293,1
21341462,1
18461617,1
5398997,1
6457494,1
19552315,1
4731748,1
15563546,1
10905378,1
15285403,1
7344511,1
16691009,1
3036835,1
10281816,1
11006951,1
10859865,1
20311740,1
24094301,1
198069,1
17784660,1
13808342,1
15998060,1
24618268,1
25944077,1
28139204,1
28475997,1
19823479,1
21358389,1
3119886,1
17373284,1
16550843,1
10123492,1
13978039,1
17746668,1
5069439,1
17982701,1
8837968,1
3231556,1
10541844,1
9677139,1
20265215,1
7412153,1
18258297,1
25545538,1
8346508,1
8117944,1
15426725,1
19537063,1
9394397,1
27051487,1
18046266,1
18418200,1
6023112,1
9814221,1
14756103,1
15485606,1
4092676,1
27740539,1
4052435,1
9095732,1
26974218,1
19018850,1
1492346,1
8854423,1
17921081,1
5441485,1
1080519,1
14914675,1
8944249,1
2624458,1
13714859,1
20064306,1
2213273,1
13747237,1
7258997,1
27306008,1
9245754,1
13415499,1
26753555,1
13155583,1
2372421,1
20349010,1
24900752,1
8984199,1
5829099,1
4993581,1
5322239,1
17982139,1
15915198,1
3370838,1
20754312,1
4030767,1
20398795,1
13413696,1
14149638,1
14287549,1
22282240,1
3877884,1
6108651,1
22331562,1
7182205,1
7990763,1
2873371,1
5103160,1
20774253,1
20660971,1
1248826,1
23961495,1
19758699,1
26588971,1
13867933,1
21448026,1
21963930,1
26936537,1
22211488,1
15793721,1
3004769,1
10528918,1
28754602,1
20104020,1
16077481,1
136457,1
8817056,1
9701410,1
1099822,1
21037532,1
15228302,1
9380376,1
21909651,1
16717734,1
17648544,1
15753913,1
7259889,1
22513118,1
3205751,1
18355741,1
16638704,1
10172252,1
14910241,1
15708458,1
11384611,1
13822802,1
12505449,1
16290623,1
13430369,1
19943063,1
19147330,1
18129978,1
17479978,1
18395213,1
17392942,1
3407626,1
27499427,1
29116788,1
10128842,1
9843828,1
15093986,1
19099635,1
26119533,1
22236354,1
2886485,1
2434520,1
5548430,1
8162617,1
410586,1
27147563,1
24283325,1
5439720,1
19641501,1
9358405,1
24349402,1
6499244,1
23918553,1
27232955,1
27469596,1
17251459,1
13602488,1
20224741,1
24663283,1
8170478,1
27536536,1
8091268,1
19820804,1
19314846,1
15393494,1
16949824,1
27681681,1
11668604,1
7553911,1
10732476,1
7623896,1
8416517,1
21667956,1
25040693,1
29023113,1
14466355,1
5247954,1
22278515,1
9356105,1
28947710,1
24491126,1
19755185,1
5481554,1
18822502,1
10281182,1
11083412,1
6005713,1
3549651,1
17009322,1
27852169,1
20844574,1
2001763,1
18507554,1
17629210,1
28169699,1
14666817,1
4187118,1
12488104,1
8742938,1
427934,1
28486256,1
15708243,1
27406826,1
25440413,1
24834266,1
1084793,1
26459676,1
24899862,1
13766624,1
4682471,1
9062615,1
14922006,1
8732866,1
1078185,1
16611808,1
20654502,1
19664730,1
12622087,1
16415741,1
24938003,1
20769533,1
22036307,1
17139019,1
14486832,1
12398542,1
15729314,1
20434473,1
16116800,1
20634755,1
16723951,1
26112145,1
24431405,1
18290070,1
21681863,1
20925694,1
1098117,1
13964115,1
14215488,1
6505671,1
12998527,1
8450572,1
3943403,1
10956567,1
1009716,1
11698195,1
4896516,1
18199108,1
3600377,1
23769369,1
12317433,1
21640858,1
17134485,1
11026907,1
10512042,1
22085827,1
16754990,1
18623771,1
28552779,1
856494,1
16224803,1
20029706,1
13536812,1
4291254,1
2572814,1
9600790,1
25076502,1
23924596,1
26873823,1
9041360,1
20935792,1
11034513,1
19329970,1
1186739,1
6962535,1
17840201,1
16307010,1
27747720,1
20680088,1
19379132,1
4339243,1
25256938,1
7658667,1
16363717,1
7890973,1
19755702,1
21700832,1
26276834,1
28758106,1
8194675,1
15759579,1
4899910,1
25650073,1
21770593,1
12526520,1
9464549,1
23114966,1
11173957,1
22187814,1
6126544,1
5120709,1
13603046,1
4739172,1
19689982,1
19600642,1
20030610,1
28920533,1
5041761,1
19630614,1
3487382,1
26341053,1
14846150,1
3224446,1
15612970,1
18513548,1
28717286,1
5812279,1
15252261,1
28357332,1
20508542,1
28405382,1
9152395,1
28952769,1
28581442,1
1025135,1
17830752,1
1799111,1
18714651,1
7089559,1
8390641,1
24568290,1
27345935,1
4680920,1
21975229,1
7276482,1
17036156,1
21378283,1
804708,1
23964055,1
10260310,1
2020393,1
18026805,1
13541961,1
3063870,1
6744736,1
6610198,1
5377260,1
9589511,1
7846270,1
23115673,1
17529102,1
26091726,1
5384527,1
4775481,1
4809226,1
9877090,1
